92, 98, 450, 244
110, 92, 449, 204
128, 88, 448, 205
147, 86, 447, 206
164, 85, 446, 207
181, 84, 445, 208
197, 84, 444, 208
214, 84, 444, 208
230, 84, 443, 208
248, 84, 443, 209
258, 84, 442, 209
276, 84, 442, 209
292, 84, 442, 209
310, 84, 441, 208
326, 84, 441, 208
340, 84, 441, 209
352, 84, 441, 209
370, 84, 442, 210
386, 85, 442, 212
404, 85, 443, 213
423, 86, 443, 215
439, 86, 444, 216
456, 87, 445, 216
474, 87, 445, 217
490, 88, 446, 218
506, 88, 446, 218
527, 88, 446, 218
544, 89, 448, 222
562, 92, 452, 222
580, 99, 457, 241
596, 111, 464, 265
616, 122, 472, 252
632, 136, 479, 258
650, 151, 485, 261
666, 167, 490, 261
683, 182, 494, 259
699, 196, 497, 257
718, 209, 500, 254
735, 220, 502, 251
752, 230, 505, 247
769, 241, 509, 241
786, 253, 514, 233
805, 266, 520, 223
824, 279, 526, 214
842, 291, 532, 206
861, 302, 536, 198
880, 311, 539, 191
898, 318, 542, 187
922, 323, 544, 183
941, 327, 545, 182
957, 331, 547, 179
976, 336, 549, 172
992, 343, 551, 164
1010, 351, 554, 155
1028, 359, 557, 146
1044, 367, 560, 139
1062, 374, 563, 132
1079, 381, 565, 128
1096, 386, 567, 124
1113, 390, 568, 122
1133, 393, 570, 120
1150, 395, 571, 120
1174, 398, 572, 115
1186, 402, 574, 111
1203, 408, 577, 103
1223, 416, 580, 94
1240, 424, 583, 87
1257, 431, 586, 80
1275, 438, 588, 75
1292, 444, 591, 70
1310, 449, 593, 68
1330, 453, 594, 66
1346, 456, 595, 65
1363, 457, 596, 65
1380, 458, 597, 65
1396, 459, 597, 67
1414, 458, 598, 69
1427, 458, 598, 71
1439, 456, 598, 73
1456, 455, 598, 76
1472, 453, 598, 79
1491, 451, 597, 83
1510, 448, 597, 88
1526, 446, 596, 93
1544, 443, 596, 97
1561, 440, 596, 102
1580, 437, 595, 106
1596, 435, 595, 109
1617, 432, 594, 113
1635, 430, 594, 116
1653, 427, 594, 119
1670, 425, 593, 121
1687, 423, 593, 123
1706, 423, 593, 123
1719, 425, 593, 122
1735, 429, 593, 119
1752, 434, 593, 116
1768, 441, 594, 112
1786, 447, 594, 107
1806, 454, 594, 103
1824, 460, 593, 100
1840, 464, 593, 97
1857, 468, 593, 96
1873, 470, 593, 96
1891, 472, 593, 95
1910, 474, 593, 95
1928, 478, 593, 94
1947, 482, 593, 93
1963, 486, 593, 92
1981, 491, 593, 91
1999, 496, 593, 90
2012, 500, 593, 89
2028, 503, 593, 89
2045, 506, 593, 88
2063, 508, 593, 87
2082, 510, 593, 87
2108, 513, 593, 87
2120, 517, 593, 87
2140, 521, 593, 86
2158, 526, 593, 85
2176, 532, 593, 84
2193, 536, 593, 83
2214, 541, 593, 83
2231, 544, 593, 82
2248, 547, 593, 82
2264, 550, 593, 82
2282, 551, 594, 81
2304, 553, 594, 82
2323, 554, 593, 82
2340, 557, 593, 82
2356, 562, 593, 82
2373, 566, 593, 81
2390, 571, 593, 81
2411, 576, 593, 80
2429, 581, 593, 80
2448, 585, 593, 79
2468, 588, 593, 79
2484, 591, 593, 79
2502, 593, 593, 79
2520, 594, 593, 79
2537, 595, 593, 79
2554, 596, 593, 79
2572, 596, 593, 80
2591, 596, 593, 81
2613, 595, 592, 82
2629, 594, 592, 84
2647, 593, 591, 87
2668, 592, 589, 90
2686, 590, 588, 92
2704, 588, 587, 94
2726, 587, 585, 96
2744, 585, 584, 98
2761, 584, 583, 99
2778, 583, 583, 100
2795, 582, 582, 101
2812, 581, 581, 102
2832, 580, 579, 100
2850, 577, 573, 96
2869, 574, 563, 93
2888, 571, 552, 92
2906, 569, 540, 92
2928, 567, 529, 95
2948, 565, 520, 98
2966, 564, 514, 101
2984, 563, 509, 103
3002, 562, 505, 104
3020, 562, 501, 106
3040, 561, 496, 108
3058, 561, 489, 111
3076, 561, 483, 114
3092, 562, 476, 117
3110, 562, 470, 120
3129, 563, 464, 123
3149, 564, 459, 125
3165, 564, 455, 127
3184, 565, 451, 128
3202, 566, 449, 129
3219, 566, 447, 130
3238, 567, 444, 130
3255, 568, 441, 131
3274, 569, 436, 132
3292, 571, 430, 134
3310, 574, 425, 135
3327, 576, 420, 137
3348, 578, 415, 139
3364, 580, 411, 140
3382, 582, 407, 141
3402, 584, 405, 142
3422, 585, 403, 142
3443, 587, 400, 141
3456, 588, 397, 141
3474, 591, 393, 140
3492, 594, 389, 139
3511, 597, 384, 139
3528, 600, 379, 139
3549, 603, 375, 139
3566, 606, 372, 139
3585, 608, 369, 138
3604, 610, 367, 138
3622, 612, 365, 138
3639, 613, 364, 138
3658, 614, 363, 137
3678, 614, 363, 136
3696, 615, 363, 135
3712, 614, 363, 134
3734, 614, 364, 132
3753, 613, 365, 131
3767, 613, 365, 130
3779, 612, 366, 129
3796, 611, 367, 127
3813, 611, 368, 126
3829, 610, 368, 123
3848, 610, 368, 120
3866, 610, 368, 117
3882, 610, 368, 114
3902, 610, 368, 111
3920, 611, 368, 109
3936, 611, 369, 107
3955, 611, 369, 106
3972, 611, 369, 104
3989, 611, 369, 103
4007, 611, 370, 102
4026, 609, 370, 102
4047, 603, 371, 105
4064, 595, 372, 108
4081, 587, 373, 110
4098, 578, 374, 111
4116, 569, 376, 113
4132, 560, 378, 114
4154, 553, 380, 114
4173, 546, 382, 115
4193, 541, 384, 115
4214, 536, 385, 115
4238, 530, 387, 117
4250, 524, 389, 119
4271, 515, 391, 122
4289, 506, 393, 125
4308, 496, 395, 127
4327, 487, 398, 128
4344, 479, 400, 129
4365, 473, 402, 131
4384, 467, 404, 132
4402, 463, 405, 133
4420, 460, 405, 133
4438, 458, 406, 134
4455, 455, 406, 135
4476, 450, 406, 138
4496, 442, 407, 143
4510, 435, 407, 145
4524, 428, 408, 147
4542, 421, 408, 150
4562, 414, 409, 152
4581, 408, 409, 153
4602, 403, 409, 155
4618, 400, 410, 155
4636, 397, 410, 156
4659, 394, 411, 155
4674, 390, 411, 156
4689, 386, 412, 156
4708, 382, 413, 156
4726, 377, 413, 157
4744, 373, 414, 157
4761, 369, 415, 157
4779, 366, 416, 157
4800, 363, 416, 158
4817, 360, 417, 158
4836, 359, 417, 158
4849, 358, 417, 158
4865, 357, 418, 158
4881, 356, 418, 158
4902, 356, 418, 157
4918, 356, 418, 157
4934, 355, 419, 155
4951, 355, 421, 154
4967, 355, 424, 152
4988, 354, 428, 150
5006, 354, 431, 148
5024, 354, 434, 147
5040, 354, 437, 146
5057, 354, 439, 145
5073, 354, 442, 144
5094, 354, 445, 142
5112, 354, 449, 141
5130, 354, 453, 139
5146, 354, 457, 138
